c anaerobes
r
d 41
d 2111
d 884
d 1984
d 108
d 2114
d 594
d 2158
d 2491
d 2
d 271
d 985
d 1561
d 543
d 1822
d 491
d 284
d 1102
d 2118
d 20
d 2614
d 1074
d 1197
d 153
d 292
d 1574
d 1215
d 2516
d 825
d 1009
d 53
d 158
d 1296
d 762
d 1869
d 1068
d 1448
d 2089
d 901
d 1830
d 1833
d 2323
d 1787
d 809
d 1575
d 1982
d 1736
d 2351
d 1463
d 1512
d 1454
d 884
d 562
d 669
d 1326
d 2171
d 710
d 1731
d 839
d 778
d 1648
d 369
d 870
d 1842
d 288
d 824
d 1057
d 962
d 651
d 1384
d 876
d 2557
d 2615
d 1421
d 493
d 2090
d 1751
d 1951
d 552
d 900
d 1100
d 2039
d 279
d 1446
d 255
d 1272
d 2325
d 2096
d 736
d 2566
d 1122
d 807
d 911
d 787
d 271
d 482
d 332
d 2082
d 1897
d 773
d 2206
d 2229
d 2014
d 794
d 1720
d 2064
d 872
d 2306
d 245
d 1442
d 2404
d 2585
d 774
d 774
d 1044
d 605
d 667
d 2523
d 2488
d 864
d 523
d 260
d 1346
d 408
d 1531
d 1349
d 246
d 2574
d 1432
d 1660
d 1380
d 1150
d 1371
d 972
d 1001
d 838
d 15
d 1701
d 2473
d 985
d 2522
d 1943
d 1903
d 47
d 2030
d 1163
d 1237
d 2018
d 1010
d 542
d 1268
d 1762
d 1756
d 160
d 975
d 876
d 900
d 1751
d 779
d 1655
d 2008
d 1227
d 1974
d 25
d 1044
d 1359
d 1985
d 1481
d 1043
d 1328
d 63
d 164
d 1709
d 804
d 2043
d 1053
d 1838
d 249
d 1825
d 1552
d 640
d 2188
d 53
d 1999
d 988
d 2518
d 1818
d 1248
d 354
d 467
d 1191
d 2213
d 1833
d 2211
d 76
d 2421
d 1655
d 1557
d 52
d 1930
d 1674
d 38
d 1260
d 2307
d 416
d 205
d 1393
d 1316
d 127
d 87
d 1190
d 944
d 814
d 2441
d 2424
d 46
d 684
d 405
d 584
d 1803
d 439
d 1587
d 1759
d 1991
d 2442
d 180
d 953
d 1618
p
d 588
d 2310
d 2313
d 305
d 2124
d 846
d 586
d 2237
d 544
d 1212
d 1115
d 2340
d 1064
d 1805
d 795
d 2333
d 509
d 1227
d 2448
d 568
d 1803
d 1599
d 1340
d 158
d 1997
d 263
d 544
d 398
d 1652
d 2416
d 1592
d 1285
d 265
d 414
d 1659
d 1416
d 2177
d 2454
d 478
d 1431
d 185
d 783
d 1100
d 1460
d 887
d 2303
d 169
d 904
d 149
d 60
d 1411
d 2389
d 732
d 12
d 1176
d 13
d 597
d 1771
d 120
d 825
d 2231
d 533
d 281
d 2194
d 1832
d 1851
d 100
d 1748
d 1738
d 2154
d 1431
d 193
d 560
d 2217
d 2368
d 2028
d 2041
d 867
d 1013
d 2029
d 184
d 2258
d 1141
d 1148
d 2398
d 1339
d 1661
d 363
d 1813
d 1896
d 2233
d 489
d 886
d 595
d 626
d 929
d 193
d 1577
d 896
d 1216
d 1897
d 1717
d 518
d 1906
d 480
d 1794
d 1363
d 2133
d 233
d 1551
d 1008
d 323
d 1926
d 495
d 180
d 981
d 912
d 1280
d 1832
d 1905
d 1934
d 1598
d 2174
d 550
d 2271
d 1868
d 481
d 1772
d 1857
d 1262
d 22
d 2161
d 801
d 1522
d 1713
d 1010
d 229
d 401
d 321
d 479
d 740
d 1160
d 227
d 1238
d 35
d 1817
d 1421
d 1257
d 2123
d 2172
d 2168
d 2278
d 11
d 521
d 1543
d 359
d 830
d 1283
d 726
d 2074
d 2297
d 106
d 1290
d 178
d 1022
d 1487
d 168
d 86
d 494
d 337
d 531
d 1193
d 1484
d 2032
d 1763
d 344
d 931
d 53
d 781
d 1520
d 1385
d 673
d 168
d 1783
d 432
d 311
d 1543
d 1924
d 1779
d 2252
d 1516
d 333
d 1012
d 2066
d 1370
d 2249
d 1998
d 1521
d 1589
d 142
d 1129
d 1412
d 1579
d 1012
d 827
d 1478
d 1776
d 1178
d 524
d 1690
d 235
d 1089
d 1415
d 614
d 616
d 99
d 436
d 1140
d 140
d 14
d 416
d 1122
d 695
d 2125
d 1551
d 1228
d 2201
d 1310
d 1474
d 2036
d 140
d 2181
d 1181
d 558
d 1018
d 1296
d 752
d 532
d 539
d 7
d 1693
d 1926
d 2239
d 245
d 600
d 29
d 564
d 951
d 788
d 258
d 417
d 613
d 1141
d 1364
d 380
d 1243
d 418
d 1022
d 384
d 987
d 1151
d 596
d 816
d 1688
d 197
d 1558
d 123
d 44
d 1506
d 2111
d 1279
d 1333
d 1264
d 1582
d 1752
d 1444
d 584
d 328
d 138
d 1911
d 1973
d 1149
d 1200
d 1576
d 995
d 1640
d 1419
d 1855
d 518
d 961
d 990
d 581
d 2
d 65
d 1318
d 2150
d 1756
d 1997
d 472
d 1200
d 1869
d 2043
d 106
d 1780
d 1797
d 130
d 2091
d 724
d 1394
d 1747
d 100
d 970
d 1338
d 568
d 2068
d 1176
d 1941
d 2176
d 577
d 364
d 1940
d 1864
d 1718
d 1062
d 1423
d 1441
d 999
d 1496
d 1626
d 677
d 2019
d 349
d 1166
d 1611
d 54
d 1229
d 2081
d 50
d 1524
d 1472
d 1922
d 1432
d 800
d 325
d 718
d 435
d 546
d 261
d 106
d 332
d 806
d 1931
d 1318
d 1940
d 1439
d 1862
d 225
d 1978
d 47
d 1529
d 1142
d 825
d 470
d 347
d 911
d 965
d 1535
d 1528
d 413
d 158
d 94
d 862
d 357
d 133
d 1491
d 1059
d 229
d 849
d 1100
d 910
d 1626
d 164
d 386
d 43
d 585
d 486
d 1149
d 1581
d 1638
d 74
d 1637
d 1238
d 1342
d 1993
d 1756
d 457
d 653
d 38
d 1174
d 300
d 1819
d 1955
d 982
d 1799
d 572
d 992
d 402
d 1589
d 1605
d 1328
d 1752
d 1739
d 1165
d 157
d 1700
d 977
d 875
d 1334
d 332
d 610
d 1017
d 386
d 1111
d 1631
d 719
d 1017
d 1383
d 1624
d 1762
d 460
d 876
d 521
d 1186
d 683
d 768
d 738
d 84
d 1996
d 1434
d 958
d 335
d 527
d 907
d 1437
d 604
d 1911
d 1814
d 1777
d 1214
d 108
d 606
d 1901
d 1173
d 912
d 1021
d 967
d 338
d 953
d 1637
d 640
d 1306
d 642
d 231
d 2005
d 1900
d 547
d 81
d 1640
d 1452
d 1541
d 1073
d 1563
d 643
d 90
d 1702
d 36
d 1983
d 588
d 1351
d 730
d 230
d 1649
d 332
d 503
d 1071
d 509
d 1680
d 351
d 966
d 61
d 1372
d 168
d 122
d 1470
d 1604
d 873
d 1582
d 698
d 1803
d 1232
p
d 750
d 1229
d 981
d 1539
d 303
d 1452
d 1168
d 1287
d 1638
d 1708
d 982
d 1960
d 1056
d 1145
d 1695
d 936
d 1682
d 840
d 1769
d 1402
d 603
d 139
d 611
d 136
d 890
d 774
d 1542
d 1844
d 724
d 290
d 1725
d 771
d 1462
d 880
d 1607
d 1519
d 1088
d 333
d 486
d 1423
d 710
d 1569
d 1815
d 1541
d 330
d 1657
d 28
d 71
d 1935
d 138
d 994
d 949
d 992
d 1165
d 1159
d 793
d 1588
d 1632
d 608
d 1020
d 1831
d 1758
d 899
d 1528
d 601
d 690
d 217
d 1251
d 189
d 530
d 748
d 75
d 682
d 1523
d 710
d 1442
d 1724
d 1272
d 248
d 669
d 1629
d 404
d 753
d 1443
d 1617
d 1798
d 1118
