c anaerobes
r
e 41
e 2105
e 880
e 1957
e 80
e 2089
e 570
e 2088
e 2419
e 2648
e 251
e 875
e 1465
e 465
e 1780
e 491
e 268
e 1034
e 2100
e 2709
e 2394
e 969
e 1175
e 153
e 292
e 1474
e 1059
e 2354
e 629
e 806
e 2720
e 2637
e 1136
e 630
e 1869
e 823
e 1124
e 1756
e 673
e 1713
e 1433
e 1995
e 1325
e 336
e 1311
e 1937
e 1506
e 2257
e 983
e 1414
e 1004
e 374
e 2665
e 33
e 948
e 1951
e 542
e 1560
e 259
e 778
e 1408
e 308
e 374
e 1842
e 288
e 109
e 859
e 761
e 175
e 832
e 176
e 1989
e 2255
e 1275
e 2554
e 1715
e 1371
e 1104
e 2577
e 821
e 540
e 1715
e 2268
e 865
e 2394
e 932
e 2239
e 1922
e 296
e 1765
e 582
e 2442
e 83
e 415
e 83
e 2449
e 2483
e 2082
e 1113
e 179
e 2106
e 1118
e 1912
e 2388
e 888
e 1749
e 342
e 2306
e 1676
e 570
e 2294
e 1475
e 2381
e 2710
e 816
e 375
e 2234
e 1938
e 2370
e 150
e 2170
e 2382
e 980
e 2274
e 539
e 224
e 1839
e 1939
e 1304
e 1144
e 80
e 1150
e 579
e 2635
e 331
e 703
e 1110
e 194
e 1645
e 429
e 1822
e 1379
e 483
e 2202
e 1310
e 728
e 2212
e 1577
e 2405
e 2226
e 968
e 403
e 236
e 2122
e 51
e 1898
e 900
e 2594
e 2400
e 1655
e 1048
e 905
e 354
e 1448
e 2459
e 1029
e 325
e 1314
e 875
e 2534
e 2110
e 839
e 1193
e 112
e 1869
e 2205
e 78
e 1383
e 579
e 2668
e 100
e 2007
e 53
e 1999
e 1875
e 668
e 1446
e 1061
e 1765
e 467
e 1001
e 1258
e 105
e 667
e 1445
e 2421
e 675
e 1163
e 997
e 1333
e 674
e 2162
e 2573
e 1089
e 1511
e 2522
e 157
e 1559
e 982
e 306
e 770
e 100
e 390
e 2612
e 1354
e 2705
e 468
e 1396
e 366
e 708
e 526
e 1587
e 2044
e 1322
e 1994
e 657
e 2550
e 1164
p
e 1491
e 707
e 1163
e 1646
e 500
e 1709
e 739
e 2614
e 1383
e 1806
e 2176
e 1384
e 584
e 2363
e 1828
e 2387
e 2504
e 737
e 726
e 1072
e 67
e 603
e 2567
e 2634
e 2456
e 966
e 1239
e 830
e 1819
e 2159
e 2513
e 1163
e 2599
e 1053
e 2028
e 1416
e 65
e 2001
e 2141
e 2289
e 1840
e 245
e 830
e 1206
e 622
e 2573
e 2348
e 2531
e 2600
e 2510
e 1914
e 2326
e 1499
e 1053
e 2493
e 1608
e 1620
e 61
e 2275
e 2404
e 2366
e 2104
e 2545
e 1429
e 1347
e 1941
e 1651
e 935
e 1442
e 2154
e 1178
e 827
e 887
e 1332
e 2368
e 1422
e 2336
e 2374
e 707
e 187
e 1987
e 1331
e 148
e 1698
e 2629
e 1026
e 2504
e 1515
e 2644
e 1453
e 325
e 1621
e 733
e 1075
e 777
e 2041
e 193
e 1379
e 570
e 1327
e 1016
e 2470
e 2672
e 2647
e 1547
e 1191
e 1752
e 793
e 1319
e 1582
e 332
e 1355
e 1586
e 2539
e 1188
e 964
e 912
e 2627
e 1832
e 1856
e 1586
e 486
e 1051
e 469
e 1830
e 712
e 481
e 1417
e 1380
e 1133
e 1675
e 2161
e 81
e 1361
e 265
e 2285
e 1136
e 2570
e 1749
e 1896
e 891
e 935
e 1611
e 2240
e 2018
e 1560
e 2278
e 132
e 1747
e 752
e 2168
e 383
e 2425
e 1724
e 1596
e 1937
e 2021
e 898
e 1934
e 1687
e 1133
e 1281
e 2064
e 1331
e 2556
e 1070
e 925
e 800
e 2033
e 1027
e 2064
e 2723
e 1411
e 2273
e 1763
e 2668
e 830
e 350
e 375
e 299
e 1943
e 2173
e 2075
e 1372
e 530
e 2625
e 1543
e 1924
e 115
e 2702
e 2153
e 546
e 1006
e 162
e 1143
e 323
e 909
e 2123
e 311
e 142
e 860
e 1289
e 2156
e 2446
e 98
e 179
e 597
e 977
e 635
e 1900
e 235
e 836
e 622
e 1217
e 2534
e 1940
e 1831
e 1642
e 140
e 59
e 2695
