t 64:62:58:78:24|69:00:34:67:41
t 36:27:42:95:91|61:27:81:45:05
t 92:53:02:04:91|95:18:16:21:82
t 69:38:71:26:47|94:35:99:67:12
t 68:53:11:41:64|73:33:22:11:03
t 37:57:62:44:47|78:29:41:23:59
t 48:64:42:40:06|88:42:90:35:16
t 48:93:01:06:50|70:29:90:05:46
t 08:31:76:66:40|56:54:84:23:29
t 37:23:26:39:44|41:29:82:18:38
t 04:58:39:15:33|86:73:06:77:30
t 12:97:73:77:29|70:72:24:45:21
t 52:31:74:55:67|55:36:61:90:86
t 37:07:91:07:30|66:24:41:50:50
t 45:83:53:87:57|88:21:58:09:09
t 13:30:06:46:22|55:62:91:00:68
t 48:37:24:59:10|50:02:41:95:83
t 84:68:99:48:21|96:20:74:36:91
t 18:99:53:34:81|67:27:88:00:38
t 07:83:48:93:28|14:13:17:10:21
t 00:51:35:16:09|03:98:56:19:49
t 43:93:85:95:02|89:09:44:08:24
t 48:03:14:87:23|96:80:18:58:00
t 09:98:89:81:98|92:38:22:72:57
t 11:56:88:15:91|58:57:90:79:38
t 28:55:72:34:02|33:75:86:62:46
t 81:16:44:42:69|99:21:51:22:98
t 69:03:10:00:12|75:89:92:76:57
t 55:89:01:88:61|85:82:85:02:23
t 32:57:17:26:88|89:21:54:69:32
t 12:41:49:34:55|25:92:68:29:76
t 29:87:96:79:23|39:53:18:60:45
t 05:86:16:97:95|93:49:66:37:49
t 14:34:55:82:88|63:86:71:16:01
t 12:53:85:55:13|56:13:45:32:08
t 61:29:22:96:44|81:82:46:58:21
t 24:53:39:92:59|44:66:73:50:35
t 18:68:22:74:13|86:49:45:10:54
t 02:91:58:05:87|24:14:14:77:25
t 33:59:72:74:34|77:18:97:87:70
t 27:13:80:02:85|92:68:63:70:73
t 43:25:27:99:02|81:61:72:23:24
t 25:93:05:32:03|86:22:42:92:31
t 13:60:87:00:64|33:35:70:70:74
t 24:95:94:40:50|85:67:96:60:11
t 58:94:76:25:19|93:78:66:71:02
t 19:64:18:84:51|26:60:87:00:52
t 09:64:58:43:27|76:15:70:57:10
t 28:29:27:25:74|77:87:65:86:82
t 23:62:02:20:23|25:95:61:37:96
t 30:16:02:60:64|47:11:71:11:26
